"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QM","PMJ","2488","-0.0056","13.1320","MANTON JN - PETERBOROUGH","HMJ9","","","false","",""
"QM","RAC","1124","125.1203","136.1516","RADFORD JN - KIRKBY LANE END JN","HMJ9","","","false","",""
"QM","RUD","1510","92.0450","92.1091","RUDDINGTON CHORD","HMJ9","","","false","",""
"QM","SEN","1648","0.0000","0.0365","SYSTON EAST JN - SYSTON NORTH JN","HMJ9","","","false","",""
"QM","SFQ","0","0.0000","0.0115","BAGWORTH JUNCTION - STUD FARM QUARRY","HMJ9","","","false","",""
"QM","SNW","3122","1.0704","3.0902","SLEAFORD NORTH JN WEST JNC","HMJ9","","","false","",""
"QM","SPC1","1719","0.0000","50.0000","ST PANCRAS - BEDFORD","HMJ8","","","false","",""
"QM","SPC2","1740","50.0000","64.1716","BEDFORD - WELLINGBOROUGH {SEE ALSO WYM}","HMJ8","","","false","",""
"QM","SPC3","6364","64.1715","95.0836","WELLINGBOROUGH - WIGSTON SOUTH JN","HMJ8","","","false","",""
"QM","SPC4","6209","95.0836","98.1320","WIGSTON SOUTH JN - LEICESTER","HMJ9","","","false","",""
"QM","SPC5","1748","98.1320","118.1320","LEICESTER - RATCLIFFE JN","HMJ8","","","false","",""
"QM","SPC6","1754","118.1319","128.0643","RATCLIFFE JN - SPONDON","HMJ9","","","false","",""
"QM","SPC7","1756","126.0594","128.0496","SPONDON - DERBY LONDON RD JN","HMJ9","","","false","",""
"QM","SPC8","1757","127.1179","147.1507","DERBY LONDON RD JN  - CLAY CROSS S JN","HMJ9","","","false","",""
"QM","SPC9","1761","142.0210","146.0000","CLAY CROSS S JN - TAPTON JN (CHESTERFIELD)","HMJ9","","","false","",""
"QM","SPD1","3170","44.0153","62.0286","SPALDING STH JN - SLEAFORD STH JN","HMJ9","","","false","",""
"QM","SPD2","3174","62.0286","81.0550","SLEAFORD STH JN - GREETWELL WEST JN","HMJ9","","","false","",""
"QM","SPD3","3175","81.0550","98.0880","GREETWELL W JN - TRENT E JN (GAINSBOROUGH)","HMJ9","","","false","",""
"QM","SSE","3128","-0.0005","0.0951","SLEAFORD SOUTH JN EAST JN","HMJ9","","","false","",""
"QM","SSJ1","2504","119.1347","127.0594","SHEET STORES JN - CHELLASTON EAST JN","HMJ9","","","false","",""
"QM","SSJ2","3554","127.1694","132.0415","CHELLASTON WEST JN - STENSON JN","HMJ9","","","false","",""
"QM","TCC","6168","119.1269","142.0212","TRENT EAST JN - CLAY CROSS SOUTH JN (EREWASH VALLEY LINE)","HMJ9","","","false","",""
"QM","TES","1872","-0.0251","0.0663","TRENT EAST JUNCTION TO SHEET STORES JUNCTION","HMJ9","","","false","",""
"QM","THL","1893","119.0375","121.0816","TRENT SOUTH JN - TOTON JN (HL GOODS LINE)","HMJ9","","","false","",""
"QM","TSN1","4043","119.0359","125.1427","TRENT SOUTH JN - MANSFIELD JN","HMJ9","","","false","",""
"QM","TSN2","4047","123.0517","124.0488","NOTTINGHAM EAST JN - MANSFIELD JN","HMJ9","","","false","",""
"QM","WEB","3168","82.0441","92.1276","WERRINGTON BRANCH","HMJ9","","","false","",""
"QM","WGP","2061","95.0840","96.0159","WIGSTON SOUTH JN - GLEN PARVA JN","HMJ9","","","false","",""
"QM","WHM","3906","122.0689","125.0161","WEST HALLAM BRANCH/MAPPERLEY GOODS LINE","HMJ9","","","false","",""
"QM","WLN","0","31.1658","37.1103","WELWYN GARDEN CITY - DUNSTABLE (CLOSED)","HMJ8","","","false","",""
"QM","WNS","3216","2.1357","15.0851","WIGSTON NTH JN - NUNEATON SOUTH JN","HMJ9","","","false","",""
"QM","WYM","6953","58.1144","62.0330","WYMINGTON DEVIATION (SHARNBROOK - IRCHESTER){SEE ALSO SPC2}","HMJ8","","","false","",""
