QW,NSA,60,0,0.088,"ALDERSHOT JN SOUTH - ALDERSHOT JN NORTH",,1,0,FALSE
QW,PAA1,61,29.0668,36.1672,"PIRBRIGHT JN - FARNHAM JN (SITE OF)",,1,0,FALSE
QW,PAA2,62,39.044,49.0319,"FARNHAM JN (SITE OF) - ALTON",,1,0,FALSE
QW,PAS,63,44.0374,44.1034,"PORTSMOUTH BLACKFRIARS JN - PORTSMOUTH & SOUTHSEA LOW LEVEL STN.",,1,0,FALSE
QW,PBE,64,7.0319,7.1562,"PUTNEY BRIDGE <LTE BOUNDARY> - EAST PUTNEY JN <SR>",,1,0,FALSE
QW,PPW,65,5.0242,8.0804,"POINT PLEASANT JN - WIMBLEDON LTE PLATFORMS",,1,0,FALSE
QW,RDG1,23,0.0102,36.0738,"WATERLOO (WINDSOR LINES) - WOKINGHAM JN",,1,0,FALSE
QW,RDG2,24,61.1617,68.1518,"WOKINGHAM JN <SR> - READING <WR> (ALL SR RESPONSIBILITY INC. FORMER GRG)",,1,0,FALSE
QW,RLL,81,35.073,35.0836,"Reading Low Level Lines",,1,0,FALSE
QW,RNJ,25,67.1688,68.0022,"READING SPUR JN <SR> TO READING NEW JN <WR>",,1,0,FALSE
QW,RPE,26,8.0748,14.061,"RAYNES PARK JN - EPSOM JN",,1,0,FALSE
QW,RSJ,27,33.022,41.1331,"REDHILL GUILDFORD LINE JN - SHALFORD JN",,1,0,FALSE
QW,RTJ1,28,18.0357,23.0688,"ROMSEY JN - REDBRIDGE JN",,1,0,FALSE
QW,RTJ2,29,80.0728,96.0099,"ROMSEY - TUNNEL JN (SALISBURY)",,1,0,FALSE
QW,SAL,30,110.0085,132.1441,"WESTBURY SOUTH JN <WR> - WILTON JN <SR> 132.1474-134 MP CLOSED LINE",,1,0,FALSE
QW,SCC,31,3.041,3.066,"SHEEPCOTE CURVE (WEST LONDON JN.- LATCHMERE NO 3 JN)",,1,0,FALSE
QW,SDP1,32,1.0975,14.0322,"ST DENYS JN - FAREHAM EAST JN",,1,0,FALSE
QW,SDP2,33,84.0213,91.0018,"FAREHAM EAST JN - PORTCREEK JN",,1,0,FALSE
QW,SHF,34,12.0592,12.1238,"STRAWBERRY HILL JN - FULWELL JN",,1,0,FALSE
QW,SLC8,35,1.0891,1.1485,"STEWARTS LANE CARRIAGE DEPOT (ELECTRIFIED ROADS 1 - 22)",,1,0,FALSE
QW,SMS2,82,7.0448,12.0949,"WIMBLEDON ""A"" JN - SUTTON WIMBLEDON LINE JN",,1,0,TRUE
QW,SOY,36,78.0191,79.0088,"NORTHAM JN - SOUTHAMPTON EASTERN DOCKS (CANUTE ROAD G.F.)",,1,0,FALSE
QW,SWE,68,19.0132,25.1056,"STAINES JN - WINDSOR & ETON RIVERSIDE",,1,0,FALSE
QW,SWX,69,19.1144,19.1518,"STAINES WEST LINK LINE",,1,0,FALSE
QW,TBH2,70,19.007,37.0547,"ARUNDEL JN (SOUTH) - HAVANT JN",,1,0,FALSE
QW,TSJ,71,11.0621,12.1263,"TWICKENHAM JN - SHACKLEGATE JN",,1,0,FALSE
QW,TTF,72,82.1232,92.0264,"TOTTON - FAWLEY",,1,0,FALSE
QW,VIC,73,0.0551,0.0755,"OLD OAK COMMON E JN <WR> - NORTH POLE JN <SR>",,1,0,FALSE
QW,VWW,74,19.0176,24.1628,"WEYBRIDGE BAY PLATFORM - VIRGINIA WATER JN VIA ADDLESTONE JN",,1,0,FALSE
QW,WEY,75,130,162.0317,"THINGLEY <WR> - DORCHESTER JN <SR>",,1,0,FALSE
QW,WKG8,76,24.073,25.0341,"WOKING DOWN YARD (COUNTRY END)",,1,0,FALSE
QW,WKG9,77,24.0726,25.0242,"WOKING UP YARD INC PRE-ASSEMBLY YARD",,1,0,FALSE
QW,WPH1,78,24.1316,66.0388,"WOKING JN - HAVANT JN",,1,0,FALSE
QW,WPH2,79,37.0505,45.0792,"HAVANT JN - PORTSMOUTH HARBOUR",,1,0,FALSE
QW,WPK,80,5.132,7,"WIMBLEDON PARK AND EAST DEPOT SIDINGS",,1,0,FALSE
QW,WTQ,66,168.075,169.1408,"WEYMOUTH TRAMWAY JN - WEYMOUTH QUAY",,1,0,FALSE
QW,YJP,67,-0.0315,1.0953,"YEOVIL PEN MILL JUNCTION - YEOVIL JUNCTION",,1,0,FALSE
