"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QW","MJW","0","0.0000","3.0000","WIMBLEDON MITCHAM LINE JN - MITCHAM (NORTH) JN","HWJ2","","","false","",""
"QW","MPC","5045","10.0240","14.0704","MOTSPUR PARK JN - CHESSINGTON SOUTH","HWJ2","","","false","",""
"QW","NGL","5065","13.0462","30.0089","HAMPTON COURT JN - GUILDFORD JN (GUILDFORD NEW LINE)","HWJ2","","","false","",""
"QW","NKE2","5072","9.0528","9.1408","NEW KEW JN <SR> - KEW EAST JN <MR BOUNDARY)","HWJ2","","","false","",""
"QW","NMS1","6794","9.1507","14.1166","NEW MALDEN JN - FULWELL JN","HWJ2","","","false","",""
"QW","NMS2","5088","12.1238","18.1606","FULWELL JN - SHEPPERTON","HWJ2","","","false","",""
"QW","NSA","5098","0.0000","0.0911","ALDERSHOT JN SOUTH - ALDERSHOT JN NORTH","HWJ2","","","false","",""
"QW","PAA1","1405","29.0666","36.1672","PIRBRIGHT JN - FARNHAM JN (SITE OF)","HWJ2","","","false","",""
"QW","PAA2","1409","39.0440","49.0373","FARNHAM JN (SITE OF) - ALTON","HWJ2","","","false","",""
"QW","PAS","6211","44.0374","44.1064","PORTSMOUTH BLACKFRIARS JN - PORTSMOUTH & SOUTHSEA LOW LEVEL STN.","HWJ4","","","false","",""
"QW","PBE","0","7.0319","7.1562","PUTNEY BRIDGE <LTE BOUNDARY> - EAST PUTNEY JN <SR>","HWJ2","","","false","",""
"QW","PPW","5120","5.0242","8.0861","POINT PLEASANT JN - WIMBLEDON LTE PLATFORMS","HWJ2","","","false","",""
"QW","RDG1","6792","0.0072","36.0768","WATERLOO (WINDSOR LINES) - WOKINGHAM JN","HWJ2","","","false","",""
"QW","RDG2","4131","61.1602","68.1518","WOKINGHAM JN <SR> - READING <WR> (ALL SR RESPONSIBILITY INC. FORMER GRG)","HWJ2","","","false","",""
"QW","RLL","6503","35.0724","35.0836","READING LOW LEVEL LINES","HWJ2","","","false","",""
"QW","RNJ","4127","67.1688","68.0022","READING SPUR JN <SR> TO READING NEW JN <WR>","HWJ2","","","false","",""
"QW","RPE","5158","8.0748","14.0610","RAYNES PARK JN - EPSOM JN","HWJ2","","","false","",""
"QW","RSJ","5162","33.0218","41.1332","REDHILL GUILDFORD LINE JN - SHALFORD JN","HWJ2","","","false","",""
"QW","RTJ1","5173","18.0357","23.0688","ROMSEY JN - REDBRIDGE JN","HWJ4","","","false","",""
"QW","RTJ2","5174","80.0724","96.0099","ROMSEY - TUNNEL JN (SALISBURY)","HWJ4","","","false","",""
"QW","SAL","4389","115.0881","132.1474","WESTBURY SOUTH JN <WR> - WILTON JN <SR> 132.1474-134 MP CLOSED LINE","HWJ4","","","false","",""
"QW","SCC","6252","3.0410","3.0660","SHEEPCOTE CURVE (WEST LONDON JN.- LATCHMERE NO 3 JN)","HWJ2","","","false","",""
"QW","SDP1","6280","1.0970","14.0322","ST DENYS JN - FAREHAM EAST JN","HWJ4","","","false","",""
"QW","SDP2","4880","84.0212","91.0019","FAREHAM EAST JN - PORTCREEK JN","HWJ4","","","false","",""
"QW","SHF","5218","12.0592","12.1238","STRAWBERRY HILL JN - FULWELL JN","HWJ2","","","false","",""
"QW","SLC8","5220","1.0891","1.1485","STEWARTS LANE CARRIAGE DEPOT (ELECTRIFIED ROADS 1 - 22)","HWJ2","","","false","",""
"QW","SOY","5238","78.0191","79.0088","NORTHAM JN - SOUTHAMPTON EASTERN DOCKS (CANUTE ROAD G.F.)","HWJ4","","","false","",""
"QW","SWE","5246","19.0132","25.1056","STAINES JN - WINDSOR & ETON RIVERSIDE","HWJ2","","","false","",""
"QW","SWX","0","19.1144","19.1518","STAINES WEST LINK LINE","HWJ2","","","false","",""
"QW","TBH2","5267","35.0793","37.0557","ARUNDEL JN (SOUTH) - HAVANT JN","HWJ4","","","false","",""
"QW","TSJ","5299","11.0620","12.1263","TWICKENHAM JN - SHACKLEGATE JN","HWJ2","","","false","",""
"QW","TTF","5303","82.1230","92.0264","TOTTON - FAWLEY","HWJ4","","","false","",""
"QW","VIC","0","0.0552","0.0755","OLD OAK COMMON E JN <WR> - NORTH POLE JN <SR>","HWJ2","","","false","",""
"QW","VWW","5418","19.0172","24.1647","WEYBRIDGE BAY PLATFORM - VIRGINIA WATER JN VIA ADDLESTONE JN","HWJ2","","","false","",""
"QW","WEY","6541","130.0001","162.0320","THINGLEY <WR> - DORCHESTER JN <SR>","HWJ4","","","false","",""
"QW","WKG8","0","24.0726","25.0341","WOKING DOWN YARD (COUNTRY END)","HWJ2","","","false","",""
"QW","WKG9","0","24.0715","25.0251","WOKING UP YARD INC PRE-ASSEMBLY YARD","HWJ2","","","false","",""
"QW","WPH1","5441","24.1314","66.0388","WOKING JN - HAVANT JN","HWJ2","","","false","",""
"QW","WPH2","6736","37.0505","45.0792","HAVANT JN - PORTSMOUTH HARBOUR","HWJ4","","","false","",""
"QW","WPK","0","5.1320","7.0000","WIMBLEDON PARK AND EAST DEPOT SIDINGS","HWJ2","","","false","",""
"QW","WTQ","5465","168.0750","169.1408","WEYMOUTH TRAMWAY JN - WEYMOUTH QUAY","HWJ4","","","false","",""
"QW","YJP","4154","-0.0315","1.0953","YEOVIL PEN MILL JUNCTION - YEOVIL JUNCTION","HWJ4","","","false","",""
