QD,HDJ3,1,"Bristol MDU"
QD,HDJ4,2,"Plymouth MDU"
QD,HDJ6,3,"Western Central MDU"
QD,HDJ7,4,"Western East MDU"
QD,HDJ8,5,"Western West MDU"
