10301164,WCM1,78.0816,QL,1343,78.0816,2100,..,MAV,NS,287798.8,646806.9,"OLD CRAIGENHILL LC <SIGS M563/564>",HLJ4,O,FALSE,,,,LS,,,-,30,10301164,27-Oct-21,QL01_JWIGGIN1,NRQL,,,X,
10301209,WCM1,77.1685,QL,1343,77.1685,1100,..,MAP,NS,288601.6,646718.8,"OOU - OB430 FULLWOOD",HLJ4,X,FALSE,,,,RS,,,-,30,10301209,05-Oct-23,QL01_AOHARE1,NRQL,,,X,
10301241,WCM1,78.0283,QL,1343,78.0283,1100,..,MAP,NS,288259.6,646701,"OB 431 CRAIGENHILL <MOOR ROAD>",HLJ4,O,FALSE,,,,RS,,,"No Info Board",30,10301241,27-Oct-21,QL01_JWIGGIN1,NRQL,,,X,
10302004,WCM1,73.0306,QL,1342,73.0306,2500,..,MAP,NS,295687.7,645035.3,"CARSTAIRS STH JN <OFF LAMPITS RD>",HLJ4,O,FALSE,,,,LS,,,-,30,10302004,27-Oct-21,QL01_JWIGGIN1,NRQL,,,X,
10302199,WCM1,71.067,QL,1342,71.067,2100,..,MAP,NS,297261.3,642605.1,"GRANGE COTTAGES <NEAR UB 392>",HLJ4,O,FALSE,,,,LS,,,-,30,10302199,27-Oct-21,QL01_JWIGGIN1,NRQL,,,X,
10302373,WCM1,70.0073,QL,1342,70.0073,2100,..,MAP,NS,297205.4,640493.6,"OB 386 LEGGATFOOT, COVINGTON ROAD",HLJ4,O,FALSE,,,,LS,,,-,30,10302373,27-Oct-21,QL01_JWIGGIN1,NRQL,,,X,
10302553,WCM1,68.0893,QL,1342,68.0893,1100,..,MAV,NS,297275.1,638089.5,"THANKERTON OLD STATION YARD",HLJ4,O,FALSE,,,,RS,,,-,30,10302553,27-Oct-21,QL01_JWIGGIN1,NRQL,,,X,
10302642,WCM1,67.0698,QL,1342,67.0698,2100,..,MAP,NS,298533.3,636843.1,"OB 371 MORRIS, OFF A73, TINTO YARD",HLJ4,O,FALSE,,,,LS,,,-,30,10302642,27-Oct-21,QL01_JWIGGIN1,NRQL,,,X,
10302874,WCM1,65.1084,QL,1342,65.1084,2100,"UB 358 BURNHEAD",MAP,NS,298761,634190.4,"UB 358 BURNHEAD",HLJ4,O,FALSE,,,,LS,,,-,30,10302874,31-Oct-22,QL01_AOHARE1,NRQL,,,X,
10303020,WCM1,63.1398,QL,1342,63.1398,2100,..,MAP,NS,297408.1,631621,"OB 341 HARDINGTON OFF B7055",HLJ4,O,FALSE,,,801561,LS,,,-,30,10303020,27-Oct-21,QL01_JWIGGIN1,NRQL,,,X,
10303065,WCM1,63.0443,QL,1342,63.0443,2100,..,MAV,NS,297107,630808.8,"LAMINGTON TSC <2> OFF B7055",HLJ4,O,FALSE,,,,LS,,,-,30,10303065,27-Oct-21,QL01_JWIGGIN1,NRQL,,,X,
10303163,WCM1,63.0392,QL,1342,63.0392,2100,..,MAP,NS,297097.7,630762.5,"LAMINGTON TSC <1> OFF B7055",HLJ4,O,FALSE,,,,LS,,,-,30,10303163,27-Oct-21,QL01_JWIGGIN1,NRQL,,,X,
10303336,WCM1,60.1296,QL,1342,60.1296,1100,..,MAR,NS,294750.4,627557.9,"WANDEL COTTAGE ON A702",HLJ4,O,FALSE,,,,RS,,,"No Info Board",30,10303336,15-Nov-21,QL01_JWIGGIN1,NRQL,,,X,
10303532,WCM1,59.121,QL,1342,59.121,1100,..,MAP,NS,293903.9,626100.2,"UB 319 LITTLEGILL OFF A702",HLJ4,O,FALSE,,,,RS,,,"No Info Board",30,10303532,15-Nov-21,QL01_JWIGGIN1,NRQL,,,X,
10303647,WCM1,58.1129,QL,1342,58.1129,1100,..,MAP,NS,293682.4,624466.4,"ABINGTON UP LOOP <SIGNAL  GMC522>",HLJ4,O,FALSE,,,,RS,,,"No Info Board",30,10303647,15-Nov-21,QL01_JWIGGIN1,NRQL,,,X,
10303768,WCM1,57.0684,QL,1342,57.0684,1100,..,MAV,NS,293353.1,622507.4,"SOUTHWOOD ROAD <SIGNAL GMC528>",HLJ4,O,FALSE,,,,RS,,,-,30,10303768,27-Oct-21,QL01_JWIGGIN1,NRQL,,,X,
10303968,WCM1,55.094,QL,1342,55.094,1100,..,MAP,NS,295274.1,621098.1,"FORMER CRAWFORD STATION",HLJ4,O,FALSE,,,,LS,,,-,30,10303968,15-Nov-21,QL01_JWIGGIN1,NRQL,,,X,
