"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"20663451","DEL","156.1386","QG","","156.1386","1100","","MAV","","457056.0","404464.0","DOCK HILLS LC","HGJ3","","","","","","","","","","","20663451","2024-01-11","","NRAIL","","","","","Up Main/Fast","DOCK HILLS.Access Road - Ings road. Sectional appendix - Section 6 page 10. Security - None. Parking - Hard surface area on left over LC. Condition - good underfoot, limited lighting, road traffic. Nearest hospital Doncaster. Nearest welfare Doncaster Marshgate Depot approx 10 mins.","SE 00571 00044"
"20663453","DEL","157.1144","QG","","157.1144","1100","","MAV","","456327.0","405642.0","BENTLEY LC","HGJ3","","","","","","","","","","","20663453","2024-01-11","","NRAIL","","","","","Up Main/Fast","BENTLEY. Access road Church St/Watch house Lane. Access via LC or station platform. Sectional appendix - Section 6 Page 10. Security - none. Parking - Station car park. Condition - Good, road traffic, cattle guards, platforms. good lighting. Nearest hospital Doncaster. Nearest welfare Doncaster marshgate Depot approx 15 mins.","SE 00563 00056"
"20662706","DEL","159.022","QG","","159.022","0","","MAV","","457869.0","408163.0","DAW LANE LC","HGJ3","","","","","","","","","","","20662706","2024-01-11","","NRAIL","","","","","All/Multiple Tracks","SECTIONAL APPENDIX - SECTION 1 PAGE 34. ACCESS - SHAFTHOLME RD. SECURITY - NONE. PARKING - DIRT TRACK NEAR LC. CONDITION - GOOD. NEAREST HOSPITAL - DONCASTER. NEAREST WELFARE - DONCASTER MARSHGATE <20 MINS> SAFETY - ROAD TRAFFIC, NO LIGHTING.","SE 00579 00082"
"20663454","DEL","159.022","QG","","159.022","1100","","MAV","","455059.0","407660.0","ATKINSONS LC","HGJ3","","","","","","","","","","","20663454","2024-01-11","","NRAIL","","","","","Up Main/Fast","Access at Atkinson's Farm off Doncaster Lane. Sectional appendix - Section 6 page 10. Security - None. Parking - Muddy area through gate. Condition - good, muddy, no lighting. Nearest hospital - Doncaster. Nearest welfare Doncaster Marshgate Depot approx 15 mins.","SE 00551 00076"
"20662710","DEL","161.0506","QG","","161.0506","2100","","MAV","","458460.0","411589.0","DORMER GREEN LC","HGJ3","","","","","","","","","","","20662710","2024-01-11","","NRAIL","","","","","Down Main/Fast","Access off Thorpe Grange Lane, specific instruction not to block right of way. Security - None. Parking - None. Condition - fair, no lighting, cattle guards, poor under foot. Nearest hospital Doncaster. Nearest welfare Joan Croft LC approx 10 mins.","SE 00584 00117"
"20662711","DEL","161.077","QG","","161.077","2100","","MAV","","458509.0","411825.0","NOBELTHORPE LC","HGJ3","","","","","","","","","","","20662711","2024-01-11","","NRAIL","","","","","Down Main/Fast","Access along Thorpe Grange Lane/Noblethorpe Lane. Security - Manned LC Parking - Limited obstructive. Condition - good, no lighting, road traffic, cattle guards. Nearest hospital Doncaster. Nearest welfare Noblethorpe LC on site.","SE 00585 00119"
"20662713","DEL","162.0308","QG","","162.0308","2100","","MAV","","458647.0","413003.0","BARCROFT LC","HGJ3","","","","","","","","","","","20662713","2024-01-11","","NRAIL","","","","","Down Main/Fast","Access along Barcroft Lane/Wrancarr Lane. Security - MCB-OD Parking good. Condition - good, road traffic, no lighting, good under foot. Nearest hospital Doncaster. Nearest welfare - Noblethorpe LC.","SE 00587 00130"
"20774661","DEL","162.0704","QG","","162.0704","0","","MAV","","457275.0","409699.0","BOOTHS NO.3","HGJ3","","","","","","","","","","","20774661","2019-02-13","","NRAIL","","","","","All/Multiple Tracks","Sectional Appendix - Section 6 page 19. Access Road - Hall Villa Lane/Tilts Lane. Access left over Booths No.1 and follow track. Security Farm gate. Parking - limited muddy area. No lighting, muddy, cattle guards. Nearest hospital Doncaster. Nearest welfare Doncaster Ten Pound Walk Depot approx 20 mins.","SE 00575 00097"
"20774660","DEL","162.1012","QG","","162.1012","2100","","MAV","","457553.0","409727.0","BOOTHS NO.1","HGJ3","","","","","","","","","","","20774660","2024-01-11","","NRAIL","","","","","Down Main/Fast","Sectional Appendix - Section 6 page 19. Access Road Hall Villa Lane/Tilts Lane. Parking across Farm LC. Security Farm gate. Hard surface area for parking, good condition underfoot, no lighting. Nearest hospital Doncaster. Nearest welfare Doncaster Ten Pound Walk Depot approx 20 mins.","SE 00575 00097"
"20783414","DEL","162.1188","QG","","162.1188","1100","","MAV","","458722.0","413804.0","HEYWORTH","HGJ3","","","","","","","","","","","20783414","2024-01-12","","NRAIL","","","","","Up Main/Fast","","SE 58713 80000"
"20662714","DEL","162.121","QG","","162.121","1100","","MAV","","458724.0","413824.0","HEYWORTH LC","HGJ3","","","","","","","","","","","20662714","2024-01-11","","NRAIL","","","","","Up Main/Fast","",""
"20662715","DEL","163.0044","QG","","163.0044","1100","","MAV","","458775.0","414364.0","MOSS LC","HGJ3","","","","","","","","","","","20662715","2024-01-11","","NRAIL","","","","","Up Main/Fast","Access through double gates off Moss Road near LC. Security - Locked gate to yard. Parking - large hard surface. Condition - good, no lighting, areas of vegetation. Nearest hospital Doncaster. Nearest welfare - Moss SB on site.","SE 00588 00144"
"20662716","DEL","164.0308","QG","","164.0308","1100","","MAV","","458952.0","416207.0","FENWICK LC","HGJ3","","","","","","","","","","","20662716","2024-01-11","","NRAIL","","","","","Up Main/Fast","Access along Fenwick Lane off Moss Road. Security - manned LC. Parking - Limited obstructive. Condition - Good, road traffic, no lighting, cattle guards. Nearest hospital Doncaster. Nearest welfare Fenwick LC on site.","SE 00589 00163"
"20662717","DEL","165.0506","QG","","165.0506","1100","","MAV","","459121.0","417989.0","BALNE LOWGATE LC","HGJ3","","","","","","","","","","","20662717","2024-01-11","","NRAIL","","","","","Up Main/Fast","Access on Lowgate. Securtiy - Manned LC. Parking - Limited obstructive. Condition - good, road traffic, no lighting, good under foot. Nearest hospital Doncaster. Nearest welfare Moss SB approx 15 mins.","SE 00591 00180"
"20772581","DEL","165.0902","QG","","165.0902","2100","","MAV","","459156.0","418350.0","CHAPEL HILL LC","HGJ3","","","","","","","","","","","20772581","2024-01-11","","NRAIL","","","","","Down Main/Fast","11/12/07 ASSET CREATED - AS",""
"20773287","DEL","172.1034","QG","","172.1034","2100","","MAV","","","","Crofton West WF4 1NX","HGJ7","","","","","","","","","NV","","20773287","2024-01-11","","NRAIL","","","","","Down Main/Fast","",""
"20774901","DEL","172.1064","QG","","172.1064","2100","","MAV","","436721.0","418013.0","Crofton West WF4 1NX","HGJ7","","","","","","","","","Vehicle","","20774901","2024-01-11","","NRAIL","","","","","Down Main/Fast","","SE 36721 18013"
"20775145","DEL","181.026","QG","","181.026","3300","","MAV","","435145.0","417233.0","Walton WF2 6NN","HGJ7","","","","","","","","","Vehicle","","20775145","2024-01-11","","PP","","","","","Rev Goods","Access Gate code is 1966. ***UPDATE: Existing access in NHD is no longer viable to access due to issue with third party landowner refusing access through their land. This was confirmed by local SM<Track> on 21/11/2022. Therefore, Vehicle Access information shown in NHD requires removal please.","SE 35145 17233"
"20775085","DEL","182.0798","QG","","182.0798","2100","","MAV","","436079.0","419058.0","Oakenshaw 2 WF4 1SD","HGJ7","","","","","","","","","Vehicle","","20775085","2024-01-11","","NRAIL","","","","","Down Main/Fast","","SE 36079 19058"
"20662750","DEL","188.0836","QG","","188.0836","1100","","MAV","","459589.0","451672.0","York Station YO24 1AB","HGJ7","","","","","","","","","","","20662750","2024-01-11","","NRAIL","","","","","Up Main/Fast","Station Road, York. SE595516",""
"20789348","DEL","23.0726","QG","","23.0726","0","","MAX","","439871.0","483243.0","PICKS NO 82 UWC YO7 4DD","HGJ9","","","","","","","","","","","20789348","2024-01-12","","NRAIL","","","","","All/Multiple Tracks","Access only on permission from land owner. Please contact Mr Bell on 07809148239 prior any works What3Words:revisits.inversely.community","SE 39871 83243"
