QX,ABD,1,16.0446,22.0026,"ABERDARE  BRANCH",,1,0,FALSE
QX,ALK,2,22.0026,22.0508,"ABERDARE LINK LINE",,1,0,FALSE
QX,CAM,3,0.0066,24.1034,"CARDIFF & MERTHYR LINE",,1,0,FALSE
QX,CAR,4,1.0511,23.1751,"CARDIFF & RHYMNEY LINE",,1,0,FALSE
QX,CEJ,5,0.0289,0.0483,"CARDIFF EAST JUNCTION LINE",,1,0,FALSE
QX,CRY,6,0.0343,2.1274,"CARDIFF RAILWAY",,1,0,FALSE
QX,MOA,7,0,0.084,"MOUNTAIN ASH LOOP",,1,0,FALSE
QX,PTA,8,13.0902,15.0022,"PENALLTA BRANCH",,1,0,FALSE
QX,RAD,9,1.044,4.0955,"RADYR BRANCH",,1,0,FALSE
QX,TBD,10,13.0792,20.0044,"TAFF BARGOED BRANCH",,1,0,FALSE
QX,THT,11,13.009,24.0088,"TREHERBERT BRANCH",,1,0,FALSE
QX,VON,12,12.088,27.033,"VALE OF NEATH LINE",,1,0,FALSE
