60097152,ABD,19.1298,QX,5612,19.1298,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097152,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097153,ABD,19.1364,QX,5612,19.1364,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097153,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097154,MOA,0.0176,QX,5612,0.0176,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097154,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097155,MOA,0.033,QX,5612,0.033,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097155,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097156,ABD,20,QX,5612,20,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097156,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097157,ABD,20.0044,QX,5612,20.0044,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097157,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097158,ABD,20.044,QX,5612,20.044,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097158,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097159,ABD,20.0528,QX,5612,20.0528,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097159,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097160,ABD,20.1254,QX,5612,20.1254,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097160,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097161,ABD,20.1364,QX,5612,20.1364,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097161,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097162,ABD,20.1452,QX,5612,20.1452,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097162,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097163,ABD,19.1122,QX,5612,19.1122,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097163,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097201,ABD,18.1518,QX,5612,18.1518,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097201,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097216,ABD,18.1364,QX,5612,18.1364,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097216,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097237,ABD,18.1694,QX,5612,18.1694,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097237,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097240,ABD,18.0352,QX,5612,18.0352,0,NP,HSD,,,,,HXJ1,,FALSE,,,,NP,,,,,60097240,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097248,ABD,16.1474,QX,5612,16.1474,0,NP,HSD,,,,,HXJ1,,FALSE,,,,NP,,,,,60097248,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097249,ABD,16.1672,QX,5612,16.1672,0,NP,HSD,,,,,HXJ1,,FALSE,,,,NP,,,,,60097249,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097251,ABD,17.0396,QX,5612,17.0396,0,NP,HSD,,,,,HXJ1,,FALSE,,,,NP,,,,,60097251,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097253,ABD,18.1474,QX,5612,18.1474,0,NP,HSD,,,,,HXJ1,,FALSE,,,,NP,,,,,60097253,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097254,ABD,18.1716,QX,5612,18.1716,0,NP,HSD,,,,,HXJ1,,FALSE,,,,NP,,,,,60097254,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
